Vervoerwijzen;Perioden;Regios;Reizigerskilometers (mld km)
Auto (passagier);2011;Utrecht (PV);     3.0
Auto (passagier);2012;Utrecht (PV);     3.5
Auto (passagier);2013;Utrecht (PV);     3.7
Auto (passagier);2014;Utrecht (PV);     3.2
Auto (passagier);2015;Utrecht (PV);     3.3
Auto (passagier);2016;Utrecht (PV);     3.2
Auto (passagier);2017;Utrecht (PV);     3.0
Auto (passagier);2010;Noord-Holland (PV);     7.0
Auto (passagier);2011;Noord-Holland (PV);     6.9
Auto (passagier);2012;Noord-Holland (PV);     6.2
Auto (passagier);2013;Noord-Holland (PV);     6.0
Auto (passagier);2014;Noord-Holland (PV);     7.2
Auto (passagier);2015;Noord-Holland (PV);     6.4
Auto (passagier);2016;Noord-Holland (PV);     6.7
Auto (passagier);2017;Noord-Holland (PV);     6.4
Auto (passagier);2010;Zuid-Holland (PV);     9.7
Auto (passagier);2011;Zuid-Holland (PV);     8.4
Auto (passagier);2012;Zuid-Holland (PV);     9.4
Auto (passagier);2013;Zuid-Holland (PV);     8.4
Auto (passagier);2014;Zuid-Holland (PV);     9.2
Auto (passagier);2015;Zuid-Holland (PV);     8.3
Auto (passagier);2016;Zuid-Holland (PV);     8.7
Auto (passagier);2017;Zuid-Holland (PV);     8.9
Auto (passagier);2010;Zeeland (PV);     1.3
Auto (passagier);2011;Zeeland (PV);     1.1
Auto (passagier);2012;Zeeland (PV);     1.2
Auto (passagier);2013;Zeeland (PV);     1.2
Auto (passagier);2014;Zeeland (PV);     1.0
Auto (passagier);2015;Zeeland (PV);     0.9
Auto (passagier);2016;Zeeland (PV);     1.3
Auto (passagier);2017;Zeeland (PV);     1.1
Auto (passagier);2010;Noord-Brabant (PV);     7.3
Auto (passagier);2011;Noord-Brabant (PV);     6.9
Auto (passagier);2012;Noord-Brabant (PV);     6.7
Auto (passagier);2013;Noord-Brabant (PV);     8.0
Auto (passagier);2014;Noord-Brabant (PV);     7.2
Auto (passagier);2015;Noord-Brabant (PV);     6.1
Auto (passagier);2016;Noord-Brabant (PV);     6.0
Auto (passagier);2017;Noord-Brabant (PV);     6.0
Auto (passagier);2010;Limburg (PV);     2.9
Auto (passagier);2011;Limburg (PV);     2.5
Auto (passagier);2012;Limburg (PV);     2.3
Auto (passagier);2013;Limburg (PV);     3.3
Auto (passagier);2014;Limburg (PV);     2.4
Auto (passagier);2015;Limburg (PV);     2.4
Auto (passagier);2016;Limburg (PV);     2.2
Auto (passagier);2017;Limburg (PV);     2.7
Trein;2010;Groningen (PV);     0.6
Trein;2011;Groningen (PV);     0.8
Trein;2012;Groningen (PV);     0.8
Trein;2013;Groningen (PV);     0.6
Trein;2014;Groningen (PV);     0.7
Trein;2015;Groningen (PV);     0.6
Trein;2016;Groningen (PV);     0.7
Trein;2017;Groningen (PV);     0.7
Trein;2010;Friesland (PV);     0.4
Trein;2011;Friesland (PV);     0.2
Trein;2012;Friesland (PV);     0.5
Trein;2013;Friesland (PV);     0.4
Trein;2014;Friesland (PV);     0.4
Trein;2015;Friesland (PV);     0.4
Trein;2016;Friesland (PV);     0.3
Trein;2017;Friesland (PV);     0.4
Trein;2010;Drenthe (PV);     0.3
Trein;2011;Drenthe (PV);     0.4
Trein;2012;Drenthe (PV);     0.3
Trein;2013;Drenthe (PV);     0.4
Trein;2014;Drenthe (PV);     0.4
Trein;2015;Drenthe (PV);     0.2
Trein;2016;Drenthe (PV);     0.3
Trein;2017;Drenthe (PV);     0.4
Trein;2010;Overijssel (PV);     0.9
Trein;2011;Overijssel (PV);     1.1
Trein;2012;Overijssel (PV);     0.9
Trein;2013;Overijssel (PV);     0.9
Trein;2014;Overijssel (PV);     1.4
Trein;2015;Overijssel (PV);     1.0
Trein;2016;Overijssel (PV);     1.1
Trein;2017;Overijssel (PV);     1.2
Trein;2010;Flevoland (PV);     0.5
Trein;2011;Flevoland (PV);     0.4
Trein;2012;Flevoland (PV);     0.4
Trein;2013;Flevoland (PV);     0.4
Trein;2014;Flevoland (PV);     0.5
Trein;2015;Flevoland (PV);     0.6
Trein;2016;Flevoland (PV);     0.7
Trein;2017;Flevoland (PV);     0.7
Trein;2010;Gelderland (PV);     1.9
Trein;2011;Gelderland (PV);     1.7
Trein;2012;Gelderland (PV);     1.7
Trein;2013;Gelderland (PV);     1.8
Trein;2014;Gelderland (PV);     2.3
Trein;2015;Gelderland (PV);     2.0
Trein;2016;Gelderland (PV);     2.4
Trein;2017;Gelderland (PV);     2.1
Trein;2010;Utrecht (PV);     1.4
Trein;2011;Utrecht (PV);     1.5
Trein;2012;Utrecht (PV);     1.7
Trein;2013;Utrecht (PV);     1.9
Trein;2014;Utrecht (PV);     1.7
Trein;2015;Utrecht (PV);     1.6
Trein;2016;Utrecht (PV);     1.9
Trein;2017;Utrecht (PV);     2.3
Trein;2010;Noord-Holland (PV);     3.1
Trein;2011;Noord-Holland (PV);     3.0
Trein;2012;Noord-Holland (PV);     3.2
Trein;2013;Noord-Holland (PV);     3.5
Trein;2014;Noord-Holland (PV);     2.7
Trein;2015;Noord-Holland (PV);     3.1
Trein;2016;Noord-Holland (PV);     3.0
Trein;2017;Noord-Holland (PV);     3.3
Trein;2010;Zuid-Holland (PV);     2.9
Trein;2011;Zuid-Holland (PV);     3.4
Trein;2012;Zuid-Holland (PV);     3.5
Trein;2013;Zuid-Holland (PV);     4.1
Trein;2014;Zuid-Holland (PV);     3.0
Trein;2015;Zuid-Holland (PV);     3.1
Trein;2016;Zuid-Holland (PV);     3.4
Trein;2017;Zuid-Holland (PV);     3.4
Trein;2010;Zeeland (PV);     0.2
Trein;2011;Zeeland (PV);     0.2
Trein;2012;Zeeland (PV);     0.2
Trein;2013;Zeeland (PV);     0.3
Trein;2014;Zeeland (PV);     0.2
Trein;2015;Zeeland (PV);     0.1
Trein;2016;Zeeland (PV);     0.1
Trein;2017;Zeeland (PV);     0.3
Trein;2010;Noord-Brabant (PV);     1.5
Trein;2011;Noord-Brabant (PV);     2.4
Trein;2012;Noord-Brabant (PV);     2.0
Trein;2013;Noord-Brabant (PV);     2.4
Trein;2014;Noord-Brabant (PV);     2.0
Trein;2015;Noord-Brabant (PV);     2.0
Trein;2016;Noord-Brabant (PV);     1.8
Trein;2017;Noord-Brabant (PV);     2.1
Trein;2010;Limburg (PV);     0.9
Trein;2011;Limburg (PV);     1.2
Trein;2012;Limburg (PV);     0.8
Trein;2013;Limburg (PV);     0.8
Trein;2014;Limburg (PV);     1.0
Trein;2015;Limburg (PV);     1.1
Trein;2016;Limburg (PV);     1.2
Trein;2017;Limburg (PV);     0.9
Bus/tram/metro;2010;Groningen (PV);     0.2
Bus/tram/metro;2011;Groningen (PV);     0.2
Bus/tram/metro;2012;Groningen (PV);     0.3
Bus/tram/metro;2013;Groningen (PV);     0.2
Bus/tram/metro;2014;Groningen (PV);     0.2
Bus/tram/metro;2015;Groningen (PV);     0.2
Bus/tram/metro;2016;Groningen (PV);     0.2
Bus/tram/metro;2017;Groningen (PV);     0.2
Bus/tram/metro;2010;Friesland (PV);     0.2
Bus/tram/metro;2011;Friesland (PV);     0.2
Bus/tram/metro;2012;Friesland (PV);     0.2
Bus/tram/metro;2013;Friesland (PV);     0.2
Bus/tram/metro;2014;Friesland (PV);     0.2
Bus/tram/metro;2015;Friesland (PV);     0.2
Bus/tram/metro;2016;Friesland (PV);     0.2
Bus/tram/metro;2017;Friesland (PV);     0.2
Bus/tram/metro;2010;Drenthe (PV);     0.1
Bus/tram/metro;2011;Drenthe (PV);     0.1
Bus/tram/metro;2012;Drenthe (PV);     0.1
Bus/tram/metro;2013;Drenthe (PV);     0.1
Bus/tram/metro;2014;Drenthe (PV);     0.1
Bus/tram/metro;2015;Drenthe (PV);     0.1
Bus/tram/metro;2016;Drenthe (PV);     0.1
Bus/tram/metro;2017;Drenthe (PV);     0.2
Bus/tram/metro;2010;Overijssel (PV);     0.2
Bus/tram/metro;2011;Overijssel (PV);     0.2
Bus/tram/metro;2012;Overijssel (PV);     0.1
Bus/tram/metro;2013;Overijssel (PV);     0.2
Bus/tram/metro;2014;Overijssel (PV);     0.2
Bus/tram/metro;2015;Overijssel (PV);     0.2
Bus/tram/metro;2016;Overijssel (PV);     0.1
Bus/tram/metro;2017;Overijssel (PV);     0.1
Bus/tram/metro;2010;Flevoland (PV);     0.2
Bus/tram/metro;2011;Flevoland (PV);     0.2
Bus/tram/metro;2012;Flevoland (PV);     0.2
Bus/tram/metro;2013;Flevoland (PV);     0.2
Bus/tram/metro;2014;Flevoland (PV);     0.2
Bus/tram/metro;2015;Flevoland (PV);     0.2
Bus/tram/metro;2016;Flevoland (PV);     0.2
Bus/tram/metro;2017;Flevoland (PV);     0.2
Bus/tram/metro;2010;Gelderland (PV);     0.4
Bus/tram/metro;2011;Gelderland (PV);     0.6
Bus/tram/metro;2012;Gelderland (PV);     0.4
Bus/tram/metro;2013;Gelderland (PV);     0.4
Bus/tram/metro;2014;Gelderland (PV);     0.4
Bus/tram/metro;2015;Gelderland (PV);     0.5
Bus/tram/metro;2016;Gelderland (PV);     0.4
Bus/tram/metro;2017;Gelderland (PV);     0.5
Bus/tram/metro;2010;Utrecht (PV);     0.4
Bus/tram/metro;2011;Utrecht (PV);     0.4
Bus/tram/metro;2012;Utrecht (PV);     0.4
Bus/tram/metro;2013;Utrecht (PV);     0.4
Bus/tram/metro;2014;Utrecht (PV);     0.4
Bus/tram/metro;2015;Utrecht (PV);     0.3
Bus/tram/metro;2016;Utrecht (PV);     0.4
Bus/tram/metro;2017;Utrecht (PV);     0.4
